Code,Name,Type,Latitude,Longitude,Sector,Open/Closed,State,Local_Hospital_Network_(LHN),Primary_Health_Network_area_(PHN),Min_Beds,Max_Beds,Website,Elective_Surgery_High_Level,Elective_Surgery_Low_Level,Establishment_ID,Medicare_provider_no,Network_code,Hospital_Network,Remoteness_area,Number_of_available_beds,Peer_group_name,Establishments_data,Morbidity_data,Emergency_department_data,Elective_Surgery_Waiting_times_data,Non_admitted_patient_aggregate_data,IHPA_funding_designation,Phone_number,Street_address,Suburb,Postcode
H0542,Modbury Hospital,Hospital,-34.834166,138.690505,Public,Open,South Australia,Northern Adelaide,Adelaide,100,199,www.sahealth.sa.gov.au/wps/wcm/connect/public+content/sa+health+internet/health+services/hospitals+and+health+services/metropolitan/modbury+hospital/modbury+hospital,"Ear, nose and throat surgery,General surgery,Gynaecology,Ophthalmology,Orthopaedic surgery,Plastic surgery,Urology,","Acromioplasty/arthroscopy shoulder/sub acromial decompression,Adenoidectomy,Anal fissure - repair of,Anterior cruciate ligament reconstruction,Arthrodesis,Arthroscopy,Bartholin's abscess drainage,Bartholin's cyst - removal of,Blepharoplasty,Breast lump - excision and/or biopsy,Breast prosthesis - removal of,Breast reduction,Bunion (hallux valgus) - removal of,Carpal tunnel release,Cataract extraction (with or without intra-ocular lens insertion),Chalazion - excision of,Cholecystectomy (open/laparoscopic),Circumcision,Cone biopsy,Cystoscopy,Dacryocystorhinostomy,Dupytren's contracture release,Ectropion - correction of,Endometrial ablation,Epididymal cyst - removal of,Examination of eye under anaesthesia,Female sterilisation,Functional endoscopic sinus surgery,Ganglion - excision of,Haemorrhoidectomy,Hammer/claw/mallet toe - correction of,Herniorrhaphy,Hydrocele - repair of,Hysteroscopy, dilatation and curettage,Inguinal herniotomy/herniorrhaphy,Laparoscopy,Large loop excision of the transformation zone cervix (LLETZ),Mastectomy,Mastoidectomy,Microlaryngoscopy,Muscle biopsy/temporal artery biopsy,Muscle or tendon length - change of,Myringoplasty/tympanoplasty,Myringotomy,Myringotomy (without insertion of grommets),Nasal polypectomy,Nasendoscopy,Orchidectomy,Osteotomy,Pilonidal sinus surgery,Pressure equalising tubes (grommets) - insertion of,Pterygium - excision of,Ptosis - repair of,Rhinoplasty,Rotator cuff - repair of,Salpingo-oophorectomy/oophorectomy/ovarian cystectomy,Septoplasty,Shoulder joint replacement,Shoulder reconstruction,Skin lesion - excision of,Stapedectomy,Stress incontinence surgery,Thyroglossal remnant - removal of,Toenail surgery,Tonsillectomy (with or without adenoidectomy),Trigger finger/thumb release,",41NA00030,0,401,Northern Adelaide,Major Cities,133,Public acute group A,Yes,Yes,Yes,Yes,Yes,Activity-based funded hospital,08 8161 2000,41-69 Smart Road,Modbury,5092
H0382,Albury Wodonga Health [Albury Campus],Hospital,-36.078401,146.939146,Public,Open,New South Wales,Albury Wodonga Health,Murray,100,199,,,,210401660,0,249,Albury Wodonga Health,Inner Regional,134,Public acute group B,Yes,Yes,Yes,No,Yes,Activity-based funded hospital,02 6058 4444,201 Borella Road,Albury,2640
H0286,Mildura Base Hospital,Hospital,-34.185634,142.143348,Public,Open,Victoria,Mildura Base Hospital,Murray,100,199,www.ramsayhealth.com.au/mbh,,,210302320,0,279,Mildura Base Hospital,Outer Regional,137,Public acute group A,Yes,Yes,Yes,No,Yes,Activity-based funded hospital,03 5022 3333,Ontario Avenue,Mildura,3502
H0372,Royal Melbourne Hospital [Royal Park Campus],Hospital,-37.778813,144.948049,Public,Open,Victoria,Melbourne Health,North Western Melbourne,100,199,www.mh.org.au,,,210A01335,0,225,Melbourne Health,Major Cities,137,Rehabilitation and GEM,Yes,Yes,No,No,Yes,Activity-based funded hospital,,,,
H0618,Glenside Health Services,Hospital,-34.943429,138.627714,Public,Open,South Australia,Central Adelaide,Adelaide,100,199,www.sahealth.sa.gov.au/wps/wcm/connect/public+content/sa+health+internet/health+services/mental+health+services,,,44CA00300,0,402,Central Adelaide,Major Cities,141,Psychiatric,Yes,Yes,No,No,No,Activity-based funded hospital,08 7087 1000,226 Fullarton Road,Glenside,5065
H0300,Northeast Health Wangaratta,Hospital,-36.354035,146.313889,Public,Open,Victoria,Northeast Health Wangaratta,Murray,100,199,,,,210401150,0,243,Northeast Health Wangaratta,Inner Regional,142,Public acute group A,Yes,Yes,Yes,Yes,Yes,Activity-based funded hospital,03 5722 5111,35-47 Green Street,Wangaratta,3677
H0387,Mater Mothers' Hospital,Hospital,-27.485436,153.027001,Public,Open,Queensland,Not applicable,Brisbane South,100,199,www.mater.org.au/Home/Hospitals/Mater-Mothers--Hospital,"Gynaecology,","Bartholin's cyst - removal of,Cone biopsy,Curettage and evacuation of uterus,Cystoscopy,Female sterilisation,Hysterectomy (abdominal/vaginal/laparoscopic),Hysteroscopy, dilatation and curettage,Laparoscopy,Large loop excision of the transformation zone cervix (LLETZ),Lingual or maxillary frenulum surgery,Myomectomy,Salpingo-oophorectomy/oophorectomy/ovarian cystectomy,Skin lesion - excision of,Stress incontinence surgery,Vaginal repair - anterior/posterior,Vitrectomy (including buckling/cryotherapy),",310000003,0,997,Not applicable,Major Cities,147,Womens,Yes,Yes,No,Yes,Yes,Activity-based funded hospital,07 3163 1918,Raymond Terrace,South Brisbane,4101
H0070,Ryde Hospital,Hospital,-33.795482,151.089756,Public,Open,New South Wales,Northern Sydney,Northern Sydney,100,199,www.nslhd.health.nsw.gov.au/hospitals/ryde/,"Ear, nose and throat surgery,General surgery,Gynaecology,Orthopaedic surgery,Other surgery,Plastic surgery,Urology,","Acromioplasty/arthroscopy shoulder/sub acromial decompression,Adenoidectomy,Anal fissure - repair of,Anterior cruciate ligament reconstruction,Arthrodesis,Arthroscopy,Bartholin's abscess drainage,Breast lump - excision and/or biopsy,Breast prosthesis - removal of,Bunion (hallux valgus) - removal of,Carpal tunnel release,Cholecystectomy (open/laparoscopic),Circumcision,Colectomy/anterior resection/large bowel resection,Curettage and evacuation of uterus,Cystoscopy,Endometrial ablation,Ethmoidectomy,Fracture non-union - treatment of,Functional endoscopic sinus surgery,Ganglion - excision of,Haemorrhoidectomy,Herniorrhaphy,Hydrocele - repair of,Hysterectomy (abdominal/vaginal/laparoscopic),Hysteroscopy, dilatation and curettage,Inguinal herniotomy/herniorrhaphy,Laparoscopy,Large loop excision of the transformation zone cervix (LLETZ),Lingual or maxillary frenulum surgery,Mastectomy,Meniscectomy,Myomectomy,Myringotomy,Nasal polypectomy,Nasendoscopy,Osteotomy,Pharynx - excision of,Pilonidal sinus surgery,Pressure equalising tubes (grommets) - insertion of,Rotator cuff - repair of,Salpingo-oophorectomy/oophorectomy/ovarian cystectomy,Scar revision,Septoplasty,Shoulder joint replacement,Skin lesion - excision of,Tendon release,Toenail surgery,Tonsillectomy (with or without adenoidectomy),Total hip replacement,Total knee replacement,Trigger finger/thumb release,Turbinectomy,Vaginal repair - anterior/posterior,Varicose veins treatment,",1176B2240,0010390X,106,Northern Sydney,Major Cities,147.8,Public acute group B,Yes,Yes,Yes,Yes,Yes,Activity-based funded hospital,02 9858 7888,Denistone Road,Eastwood,2122
H0015,Sydney Children's Hospital,Hospital,-33.917179,151.238334,Public,Open,New South Wales,Sydney Children's Hospitals Network,Central and Eastern Sydney,100,199,www.sch.edu.au/,"Ear, nose and throat surgery,General surgery,Gynaecology,Neurosurgery,Ophthalmology,Orthopaedic surgery,Other surgery,Paediatric surgery,Plastic surgery,Urology,","Adenoidectomy,Arthroscopy,Bartholin's abscess drainage,Cataract extraction (with or without intra-ocular lens insertion),Cervical discectomy and fusion,Cholecystectomy (open/laparoscopic),Circumcision,Cleft lip and palate - repair of,Craniotomy,Curettage and evacuation of uterus,Cystectomy,Cystoscopy,Dacryocystorhinostomy,Dialysis access surgery,Examination of eye under anaesthesia,Fracture non-union - treatment of,Functional endoscopic sinus surgery,Fundoplication,Ganglion - excision of,Herniorrhaphy,Hydrocele - repair of,Hypospadias - repair of,Hysteroscopy, dilatation and curettage,Inguinal herniotomy/herniorrhaphy,Insertion of ventricular peritoneal shunt,Laminectomy,Laparoscopy,Lingual or maxillary frenulum surgery,Lobectomy/wedge resection/pneumonectomy,Mastoidectomy,Meatoplasty,Microlaryngoscopy,Muscle or tendon length - change of,Myringoplasty/tympanoplasty,Myringotomy,Myringotomy (without insertion of grommets),Nasal cautery,Nasendoscopy,Nephrectomy,Orchidopexy,Osteotomy,Pharyngoplasty,Pilonidal sinus surgery,Pressure equalising tubes (grommets) - insertion of,Probing of naso-lacrimal duct,Procedure for strabismus (squint repair),Ptosis - repair of,Pyeloplasty/correction of ureteropelvic junction,Repair of obstructing hiatus hernia,Scar revision,Septoplasty,Skin lesion - excision of,Stapedectomy,Tendon release,Thyroidectomy/hemi-thyroidectomy,Toenail surgery,Tonsillectomy (with or without adenoidectomy),Total hip replacement,Trigger finger/thumb release,Turbinectomy,Ureteric - reimplantation,Ureteric stent - insertion of,Urethra - dilatation of,",1163C2380,0010260H,117,Sydney Children's Hospitals Network,Major Cities,148.3,Childrens,Yes,Yes,Yes,Yes,Yes,Activity-based funded hospital,02 9382 1111,High Street,Randwick,2031
H0362,Mercy Hospital for Women,Hospital,-37.756075,145.061008,Public,Open,Victoria,Mercy Public Hospital Inc. (Vic),Eastern Melbourne,100,199,www.mercy.com.au/Hospital_Clinical_And_Mental_Health_Services/Our_Hospitals_And_Clinics/Heidelberg_-_Mercy_Hospital_for_Women/,"Gynaecology,Other surgery,","Bartholin's abscess drainage,Cone biopsy,Cystectomy,Cystoscopy,Dermoid cyst - removal of,Endometrial ablation,Hysterectomy (abdominal/vaginal/laparoscopic),Hysteroscopy, dilatation and curettage,Laparoscopy,Large loop excision of the transformation zone cervix (LLETZ),Myomectomy,Salpingo-oophorectomy/oophorectomy/ovarian cystectomy,Stress incontinence surgery,Vaginal repair - anterior/posterior,",210A01160,0,267,Mercy Public Hospital Inc. (Vic),Major Cities,150,Womens,Yes,Yes,Yes,Yes,Yes,Activity-based funded hospital,03 8458 4444,163 Studley Road,Heidelberg,3084
H0383,Victorian Institute of Forensic Mental Health,Hospital,-37.78931,145.012975,Public,Open,Victoria,Victorian Institute of Forensic Mental Health,North Western Melbourne,0,0,,,,240A05990,0,227,Victorian Institute of Forensic Mental Health,Major Cities,160,Psychiatric,Yes,Yes,No,No,No,Funding not designated/Unknown,03 8684 0000,Yarra Bend Road,Fairfield,3078
H0379,Broadmeadows Health Service,Hospital,-37.684321,144.913106,Public,Open,Victoria,Northern Health (Vic),North Western Melbourne,100,199,,"Ear, nose and throat surgery,General surgery,Gynaecology,Ophthalmology,Orthopaedic surgery,Plastic surgery,Urology,","Acromioplasty/arthroscopy shoulder/sub acromial decompression,Anal fissure - repair of,Anterior cruciate ligament reconstruction,Arthrodesis,Arthroscopy,Bartholin's abscess drainage,Blepharoplasty,Breast lump - excision and/or biopsy,Bunion (hallux valgus) - removal of,Carpal tunnel release,Cataract extraction (with or without intra-ocular lens insertion),Chalazion - excision of,Cholecystectomy (open/laparoscopic),Circumcision,Cleft lip and palate - repair of,Cone biopsy,Curettage and evacuation of uterus,Cystectomy,Cystoscopy,Dermoid cyst - removal of,Dialysis access surgery,Dupytren's contracture release,Ectropion - correction of,Endometrial ablation,Epididymal cyst - removal of,Exostosis - excision of,Female sterilisation,Fracture non-union - treatment of,Functional endoscopic sinus surgery,Fundoplication,Ganglion - excision of,Haemorrhoidectomy,Hammer/claw/mallet toe - correction of,Herniorrhaphy,Hydrocele - repair of,Hysterectomy (abdominal/vaginal/laparoscopic),Hysteroscopy, dilatation and curettage,Inguinal herniotomy/herniorrhaphy,Laparoscopy,Large loop excision of the transformation zone cervix (LLETZ),Lingual or maxillary frenulum surgery,Meniscectomy,Muscle biopsy/temporal artery biopsy,Muscle or tendon length - change of,Myomectomy,Orchidectomy,Osteotomy,Parotidectomy/submandibular gland - excision of,Pilonidal sinus surgery,Procedure for strabismus (squint repair),Prostate biopsy,Prostatectomy (transurethral or open),Pterygium - excision of,Pyeloplasty/correction of ureteropelvic junction,Radical neck dissection,Rhinoplasty,Rotator cuff - repair of,Salpingo-oophorectomy/oophorectomy/ovarian cystectomy,Scar revision,Septoplasty,Shoulder joint replacement,Shoulder reconstruction,Skin lesion - excision of,Stone/s urinary tract - removal of,Stress incontinence surgery,Tendon release,Thyroglossal remnant - removal of,Toenail surgery,Tonsillectomy (with or without adenoidectomy),Total hip replacement,Total knee replacement,Trigger finger/thumb release,Turbinectomy,Ureteric stent - insertion of,Vaginal repair - anterior/posterior,Varicose veins treatment,",210A02970,0,226,Northern Health (Vic),Major Cities,164,Public acute group C,Yes,Yes,No,Yes,Yes,Activity-based funded hospital,03 8345 5000,35 Johnstone Street,Broadmeadows,3047
H0624,Osborne Park Hospital,Hospital,-31.885976,115.804717,Public,Open,Western Australia,North Metropolitan Health Service (WA),Perth North,100,199,www.oph.health.wa.gov.au,"Ear, nose and throat surgery,General surgery,Gynaecology,Neurosurgery,Ophthalmology,Orthopaedic surgery,Other surgery,Plastic surgery,Urology,","Acromioplasty/arthroscopy shoulder/sub acromial decompression,Adenoidectomy,Anal fissure - repair of,Anterior cruciate ligament reconstruction,Arthrodesis,Arthroscopy,Axillary node dissection,Bartholin's cyst - removal of,Bladder neck incision,Blepharoplasty,Breast lump - excision and/or biopsy,Breast prosthesis - removal of,Breast reconstruction,Breast reduction,Bunion (hallux valgus) - removal of,Carpal tunnel release,Cataract extraction (with or without intra-ocular lens insertion),Cervical discectomy and fusion,Cholecystectomy (open/laparoscopic),Circumcision,Common peroneal nerve release,Cone biopsy,Cystoscopy,Dialysis access surgery,Discectomy,Dupytren's contracture release,Ectropion - correction of,Endometrial ablation,Exostosis - excision of,Female sterilisation,Functional endoscopic sinus surgery,Ganglion - excision of,Haemorrhoidectomy,Hammer/claw/mallet toe - correction of,Herniorrhaphy,Hydrocele - repair of,Hysterectomy (abdominal/vaginal/laparoscopic),Hysteroscopy, dilatation and curettage,Inguinal herniotomy/herniorrhaphy,Laminectomy,Laparoscopy,Large loop excision of the transformation zone cervix (LLETZ),Lithotripsy,Mastoidectomy,Meatoplasty,Meniscectomy,Muscle or tendon length - change of,Myomectomy,Myringoplasty/tympanoplasty,Myringotomy,Myringotomy (without insertion of grommets),Orchidectomy,Osteotomy,Parathyroidectomy,Pilonidal sinus surgery,Procedure for strabismus (squint repair),Prostate biopsy,Prostatectomy (transurethral or open),Pterygium - excision of,Ptosis - repair of,Rotator cuff - repair of,Salpingo-oophorectomy/oophorectomy/ovarian cystectomy,Scar revision,Septoplasty,Shoulder joint replacement,Shoulder reconstruction,Skin lesion - excision of,Stone/s urinary tract - removal of,Sub-mucosal resection,Tendon release,Thyroidectomy/hemi-thyroidectomy,Toenail surgery,Tonsillectomy (with or without adenoidectomy),Total hip replacement,Total knee replacement,Trabeculectomy,Trigger finger/thumb release,Ureteric stent - insertion of,Urethra - dilatation of,Vaginal repair - anterior/posterior,Varicose veins treatment,Vitrectomy (including buckling/cryotherapy),",510100239,0071030F,501,North Metropolitan Health Service (WA),Major Cities,164.8,Public acute group C,Yes,Yes,No,Yes,Yes,Activity-based funded hospital,08 9346 8000,Osborne Place,Stirling,6021
H0702,Bunbury Hospital,Hospital,-33.366986,115.648183,Public,Open,Western Australia,WA Country Health Service,Country WA,100,199,www.health.wa.gov.au/services/detail.cfm?Unit_ID=29,"Ear, nose and throat surgery,General surgery,Gynaecology,Ophthalmology,Orthopaedic surgery,Other surgery,Plastic surgery,Urology,","Adenoidectomy,Anal fissure - repair of,Anterior cruciate ligament reconstruction,Arthrodesis,Arthroplasty - revision of,Arthroscopy,Axillary node dissection,Bartholin's cyst - removal of,Bladder neck incision,Blepharoplasty,Breast lump - excision and/or biopsy,Breast prosthesis - removal of,Bunion (hallux valgus) - removal of,Carpal tunnel release,Cataract extraction (with or without intra-ocular lens insertion),Cholecystectomy (open/laparoscopic),Circumcision,Colectomy/anterior resection/large bowel resection,Common peroneal nerve release,Cone biopsy,Corneal graft,Curettage and evacuation of uterus,Cystoscopy,Dacryocystorhinostomy,Dialysis access surgery,Dupytren's contracture release,Ectropion - correction of,Endometrial ablation,Epididymal cyst - removal of,Ethmoidectomy,Exostosis - excision of,Female sterilisation,Fracture non-union - treatment of,Functional endoscopic sinus surgery,Fundoplication,Ganglion - excision of,Haemorrhoidectomy,Hammer/claw/mallet toe - correction of,Herniorrhaphy,Hydrocele - repair of,Hysterectomy (abdominal/vaginal/laparoscopic),Hysteroscopy, dilatation and curettage,Inguinal herniotomy/herniorrhaphy,Laparoscopy,Large loop excision of the transformation zone cervix (LLETZ),Lithotripsy,Mastectomy,Mastoidectomy,Microlaryngoscopy,Muscle or tendon length - change of,Myomectomy,Myringoplasty/tympanoplasty,Myringotomy,Myringotomy (without insertion of grommets),Nasal polypectomy,Nasendoscopy,Nephrectomy,Orchidectomy,Parathyroidectomy,Parotidectomy/submandibular gland - excision of,Pilonidal sinus surgery,Pressure equalising tubes (grommets) - insertion of,Probing of naso-lacrimal duct,Procedure for strabismus (squint repair),Prostatectomy (transurethral or open),Pterygium - excision of,Ptosis - repair of,Pyeloplasty/correction of ureteropelvic junction,Repair of obstructing hiatus hernia,Rhinoplasty,Rotator cuff - repair of,Salpingo-oophorectomy/oophorectomy/ovarian cystectomy,Scar revision,Septoplasty,Shoulder joint replacement,Shoulder reconstruction,Skin lesion - excision of,Stone/s urinary tract - removal of,Stress incontinence surgery,Thyroglossal remnant - removal of,Thyroidectomy/hemi-thyroidectomy,Toenail surgery,Tonsillectomy (with or without adenoidectomy),Total hip replacement,Total knee replacement,Trabeculectomy,Trigger finger/thumb release,Turbinectomy,Ureteric - reimplantation,Ureteric stent - insertion of,Urethra - dilatation of,Vaginal repair - anterior/posterior,Varicose veins treatment,",511000208,0071120B,503,WA Country Health Service,Inner Regional,164.8,Public acute group B,Yes,Yes,Yes,Yes,Yes,Activity-based funded hospital,,,,
H0191,Dubbo Hospital,Hospital,-32.239339,148.620772,Public,Open,New South Wales,Western NSW,Western NSW,100,199,,"Ear, nose and throat surgery,General surgery,Gynaecology,Ophthalmology,Orthopaedic surgery,Other surgery,Paediatric surgery,Urology,","Acromioplasty/arthroscopy shoulder/sub acromial decompression,Adenoidectomy,Anal fissure - repair of,Anterior cruciate ligament reconstruction,Arthrodesis,Arthroscopy,Bartholin's abscess drainage,Breast lump - excision and/or biopsy,Breast prosthesis - removal of,Bunion (hallux valgus) - removal of,Carpal tunnel release,Cataract extraction (with or without intra-ocular lens insertion),Cholecystectomy (open/laparoscopic),Circumcision,Colectomy/anterior resection/large bowel resection,Curettage and evacuation of uterus,Cystectomy,Cystoscopy,Dialysis access surgery,Diathermy of wart/s,Dupytren's contracture release,Endometrial ablation,Epididymal cyst - removal of,Examination of eye under anaesthesia,Exostosis - excision of,Female sterilisation,Fracture non-union - treatment of,Functional endoscopic sinus surgery,Fundoplication,Ganglion - excision of,Haemorrhoidectomy,Hammer/claw/mallet toe - correction of,Herniorrhaphy,Hydrocele - repair of,Hysterectomy (abdominal/vaginal/laparoscopic),Hysteroscopy, dilatation and curettage,Inguinal herniotomy/herniorrhaphy,Laparoscopy,Large loop excision of the transformation zone cervix (LLETZ),Lingual or maxillary frenulum surgery,Lithotripsy,Lobectomy/wedge resection/pneumonectomy,Mastectomy,Mastoidectomy,Meniscectomy,Microlaryngoscopy,Muscle or tendon length - change of,Myringoplasty/tympanoplasty,Myringotomy,Myringotomy (without insertion of grommets),Nasal cautery,Nasal polypectomy,Nephrectomy,Nerve decompression,Orchidectomy,Orchidopexy,Osteotomy,Parotidectomy/submandibular gland - excision of,Pilonidal sinus surgery,Pressure equalising tubes (grommets) - insertion of,Prostate biopsy,Prostatectomy (transurethral or open),Pterygium - excision of,Pyeloplasty/correction of ureteropelvic junction,Repair of obstructing hiatus hernia,Rhinoplasty,Rotator cuff - repair of,Salpingo-oophorectomy/oophorectomy/ovarian cystectomy,Scar revision,Septoplasty,Shoulder joint replacement,Shoulder reconstruction,Skin lesion - excision of,Stone/s urinary tract - removal of,Stress incontinence surgery,Tendon release,Thyroidectomy/hemi-thyroidectomy,Toenail surgery,Tonsillectomy (with or without adenoidectomy),Total hip replacement,Total knee replacement,Trigger finger/thumb release,Turbinectomy,Ureteric stent - insertion of,Urethra - dilatation of,Vaginal repair - anterior/posterior,Varicose veins treatment,",1185K2110,0011170A,112,Western NSW,Inner Regional,168.9,Public acute group A,Yes,Yes,Yes,Yes,Yes,Activity-based funded hospital,02 6809 6809,Myall Street,Dubbo,2830
H0241,South West Healthcare [Warrnambool],Hospital,-38.380085,142.472977,Public,Open,Victoria,South West Healthcare (Vic),Western Victoria,100,199,,"Ear, nose and throat surgery,General surgery,Gynaecology,Ophthalmology,Orthopaedic surgery,Other surgery,Plastic surgery,Urology,","Acromioplasty/arthroscopy shoulder/sub acromial decompression,Adenoidectomy,Amputation of limb,Anal fissure - repair of,Anterior cruciate ligament reconstruction,Arthrodesis,Arthroplasty - revision of,Arthroscopy,Axillary node dissection,Bartholin's abscess drainage,Blepharoplasty,Branchial apparatus remnant - removal of,Breast lump - excision and/or biopsy,Breast prosthesis - removal of,Breast reconstruction,Bunion (hallux valgus) - removal of,Carpal tunnel release,Cataract extraction (with or without intra-ocular lens insertion),Cholecystectomy (open/laparoscopic),Circumcision,Colectomy/anterior resection/large bowel resection,Cone biopsy,Curettage and evacuation of uterus,Cystectomy,Cystoscopy,Dacryocystorhinostomy,Dialysis access surgery,Diathermy of wart/s,Dupytren's contracture release,Ectropion - correction of,Endometrial ablation,Exostosis - excision of,Female sterilisation,Functional endoscopic sinus surgery,Fundoplication,Ganglion - excision of,Haemorrhoidectomy,Hammer/claw/mallet toe - correction of,Herniorrhaphy,Hydrocele - repair of,Hysterectomy (abdominal/vaginal/laparoscopic),Inguinal herniotomy/herniorrhaphy,Laparoscopy,Large loop excision of the transformation zone cervix (LLETZ),Lingual or maxillary frenulum surgery,Mastectomy,Mastoidectomy,Meniscectomy,Microlaryngoscopy,Muscle biopsy/temporal artery biopsy,Myomectomy,Myringoplasty/tympanoplasty,Myringotomy,Nasal polypectomy,Nasendoscopy,Orchidectomy,Osteotomy,Parotidectomy/submandibular gland - excision of,Pilonidal sinus surgery,Pressure equalising tubes (grommets) - insertion of,Prostate biopsy,Prostatectomy (transurethral or open),Ptosis - repair of,Rotator cuff - repair of,Salpingo-oophorectomy/oophorectomy/ovarian cystectomy,Scar revision,Septoplasty,Shoulder joint replacement,Skin lesion - excision of,Stress incontinence surgery,Tendon release,Thyroglossal remnant - removal of,Thyroidectomy/hemi-thyroidectomy,Toenail surgery,Tonsillectomy (with or without adenoidectomy),Total hip replacement,Total knee replacement,Trigger finger/thumb release,Turbinectomy,Vaginal repair - anterior/posterior,Varicose veins treatment,",210102160,0,284,South West Healthcare (Vic),Inner Regional,171,Public acute group A,Yes,Yes,Yes,No,Yes,Activity-based funded hospital,03 5563 1666,Ryot Street,Warrnambool,3280
H0020,Canterbury Hospital,Hospital,-33.919592,151.098275,Public,Open,New South Wales,Sydney,Central and Eastern Sydney,100,199,www.sswahs.nsw.gov.au/Canterbury/,"Ear, nose and throat surgery,General surgery,Gynaecology,Orthopaedic surgery,Other surgery,Paediatric surgery,Urology,","Adenoidectomy,Anal fissure - repair of,Anterior cruciate ligament reconstruction,Arthrodesis,Arthroscopy,Bartholin's abscess drainage,Bladder neck incision,Breast lump - excision and/or biopsy,Breast prosthesis - removal of,Bunion (hallux valgus) - removal of,Carpal tunnel release,Cholecystectomy (open/laparoscopic),Circumcision,Colectomy/anterior resection/large bowel resection,Curettage and evacuation of uterus,Cystoscopy,Dupytren's contracture release,Endometrial ablation,Examination of eye under anaesthesia,Female sterilisation,Fracture non-union - treatment of,Functional endoscopic sinus surgery,Ganglion - excision of,Haemorrhoidectomy,Herniorrhaphy,Hydrocele - repair of,Hysterectomy (abdominal/vaginal/laparoscopic),Hysteroscopy, dilatation and curettage,Inguinal herniotomy/herniorrhaphy,Laparoscopy,Large loop excision of the transformation zone cervix (LLETZ),Lingual or maxillary frenulum surgery,Lithotripsy,Lobectomy/wedge resection/pneumonectomy,Mastoidectomy,Meniscectomy,Microlaryngoscopy,Myringoplasty/tympanoplasty,Myringotomy,Myringotomy (without insertion of grommets),Nasal polypectomy,Nasendoscopy,Nephrectomy,Orchidectomy,Osteotomy,Parotidectomy/submandibular gland - excision of,Pilonidal sinus surgery,Pressure equalising tubes (grommets) - insertion of,Prostatectomy (transurethral or open),Rhinoplasty,Rotator cuff - repair of,Salpingo-oophorectomy/oophorectomy/ovarian cystectomy,Scar revision,Septoplasty,Shoulder joint replacement,Shoulder reconstruction,Skin lesion - excision of,Tendon release,Thyroidectomy/hemi-thyroidectomy,Toenail surgery,Tonsillectomy (with or without adenoidectomy),Total hip replacement,Total knee replacement,Trigger finger/thumb release,Turbinectomy,Ureteric stent - insertion of,Vaginal repair - anterior/posterior,Varicose veins treatment,",1170A2020,0010090J,102,Sydney,Major Cities,175,Public acute group B,Yes,Yes,Yes,Yes,Yes,Activity-based funded hospital,02 9787 0000,575 Canterbury Road,Campsie,2194
H0048,Shellharbour Hospital,Hospital,-34.558987,150.840947,Public,Open,New South Wales,Illawarra Shoalhaven,South Eastern NSW,100,199,,"General surgery,Gynaecology,Ophthalmology,Orthopaedic surgery,Paediatric surgery,Plastic surgery,","Anal fissure - repair of,Anterior cruciate ligament reconstruction,Arthrodesis,Arthroscopy,Bartholin's abscess drainage,Blepharoplasty,Breast lump - excision and/or biopsy,Breast prosthesis - removal of,Bunion (hallux valgus) - removal of,Carpal tunnel release,Cataract extraction (with or without intra-ocular lens insertion),Chalazion - excision of,Cholecystectomy (open/laparoscopic),Cystectomy,Diathermy of wart/s,Dupytren's contracture release,Ectropion - correction of,Endometrial ablation,Female sterilisation,Ganglion - excision of,Haemorrhoidectomy,Herniorrhaphy,Hysterectomy (abdominal/vaginal/laparoscopic),Hysteroscopy, dilatation and curettage,Inguinal herniotomy/herniorrhaphy,Laparoscopy,Large loop excision of the transformation zone cervix (LLETZ),Mastectomy,Nerve decompression,Pilonidal sinus surgery,Procedure for strabismus (squint repair),Pterygium - excision of,Ptosis - repair of,Rotator cuff - repair of,Salpingo-oophorectomy/oophorectomy/ovarian cystectomy,Scar revision,Shoulder reconstruction,Skin lesion - excision of,Tendon release,Toenail surgery,Trabeculectomy,Trigger finger/thumb release,Vaginal repair - anterior/posterior,",1173P2110,0010060T,108,Illawarra Shoalhaven,Major Cities,176.4,Public acute group B,Yes,Yes,Yes,Yes,Yes,Activity-based funded hospital,02 4295 2500,15-17 Madigan Boulevarde,Mount Warrigal,2528
